nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;77.53;"DKI JAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;72.53;"JAWA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;78.43;"JAWA TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;84.04;"DI YOGYAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;74.05;"JAWA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;64.86;BANTEN
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;80.38;BALI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;75.44;"NUSA TENGGARA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;76.27;"NUSA TENGGARA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;65.86;"KALIMANTAN BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;78.58;"KALIMANTAN TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;70.49;"KALIMANTAN SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;77.76;"KALIMANTAN TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;-;"KALIMANTAN UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;79.61;"SULAWESI UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;68.63;"SULAWESI TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;66.55;"SULAWESI SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;74.68;"SULAWESI TENGGARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;73.59;GORONTALO
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;-;"SULAWESI BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;66.13;MALUKU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;68.14;"MALUKU UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;-;"PAPUA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;65.53;PAPUA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2005;Tahun;72.52;INDONESIA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;70.93;ACEH
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;67.03;"SUMATERA UTARA"
